-0.3039 	-1.5504
0.1331 	-1.9643
0.6991 	-2.3049
0.1865 	-2.6018
1.0264 	-2.7867
1.3138 	-3.2882
-6.9447 	-4.4247
-6.6492 	-4.9179
-6.4351 	-4.1178
-6.1394 	-4.6125
-5.8467 	-5.1087
-5.5573 	-5.6070
-5.9317 	-3.8184
-5.6372 	-4.3094
-5.3451 	-4.8038
-5.0537 	-5.2946
-5.4216 	-3.5065
-5.1265 	-3.9985
-4.8341 	-4.4934
-4.5449 	-4.9895
-4.2587 	-5.4878
-4.9151 	-3.1982
-4.6186 	-3.6954
-4.3263 	-4.1900
-4.0359 	-4.6874
-3.7493 	-5.1815
-3.4649 	-5.6830
-3.1847 	-6.1841
-2.9069 	-6.6880
-4.7039 	-2.4063
-4.4041 	-2.8981
-4.1074 	-3.3915
-3.8142 	-3.8870
-3.5236 	-4.3842
-3.2362 	-4.8829
-2.9516 	-5.3838
-2.6704 	-5.8858
-2.3917 	-6.3902
-4.0333 	-2.3677
-3.7369 	-2.8574
-3.4456 	-3.3505
-3.1533 	-3.8439
-2.8688 	-4.3424
-2.5840 	-4.8396
-2.2989 	-5.3344
-2.0195 	-5.8349
-1.7437 	-6.3371
-3.0446 	-2.8709
-2.7397 	-3.3861
-2.4598 	-3.8657
-2.1715 	-4.3657
-1.8858 	-4.8669
-1.6018 	-5.3635
-1.3239 	-5.8753
-1.0473 	-6.3818
-2.2614 	-3.0292
-1.9719 	-3.5242
-1.6845 	-4.0214
-1.4011 	-4.5197
-1.1193 	-5.0198
-0.8405 	-5.5218
-0.5646 	-6.0246
-0.2917 	-6.5291
-1.6986 	-2.8090
-1.4088 	-3.3041
-1.1224 	-3.8008
-0.8384 	-4.2998
-0.5573 	-4.8001
-0.2792 	-5.3022
-0.0039 	-5.8055
0.2696 	-6.3104
-1.1900 	-2.5080
-0.9003 	-3.0028
-0.6135 	-3.4997
-0.3293 	-3.9978
-0.0478 	-4.4975
0.2313 	-4.9995
0.5071 	-5.5022
0.7819 	-6.0124
-0.9800 	-1.7019
-0.6883 	-2.1949
-0.3980 	-2.6892
-0.1097 	-3.1869
0.1741 	-3.6835
0.4528 	-4.1785
0.7367 	-4.6880
1.0127 	-5.1876
1.2876 	-5.6920
